Optimizer|Learning Rate|Metric|Epochs|Batch Size|Accuracy|F1_Score|Time
<keras.optimizer_v2.adam.Adam object at 0x7f164a54a610>|0.0001|accuracy|50|16|0.9310344827586207|0.930888388719714|694.1987206935883
<keras.optimizer_v2.adam.Adam object at 0x7f14de789390>|0.0001|accuracy|100|64|0.9252873563218391|0.9252651402517593|1265.9659745693207
<keras.optimizer_v2.adam.Adam object at 0x7f14e1cae1d0>|0.0001|accuracy|50|64|0.9195402298850575|0.9194976867151355|643.4392967224121
<keras.optimizer_v2.adam.Adam object at 0x7f14e7454090>|0.0001|accuracy|100|16|0.9022988505747126|0.9022697987907622|1379.5608894824982
<keras.optimizer_v2.adam.Adam object at 0x7f14e5851910>|0.0001|accuracy|100|32|0.896551724137931|0.8965517241379309|1320.6240854263306
<keras.optimizer_v2.adam.Adam object at 0x7f13d742a110>|0.001|accuracy|100|16|0.896551724137931|0.8964285714285714|1370.3336005210876
<keras.optimizer_v2.adam.Adam object at 0x7f127262e3d0>|0.001|accuracy|100|32|0.8908045977011494|0.8908009909165979|1326.4599447250366
<keras.optimizer_v2.adam.Adam object at 0x7f126ec41250>|0.001|accuracy|50|64|0.8793103448275862|0.8792744573297651|638.9740917682648
<keras.optimizer_v2.adam.Adam object at 0x7f15d01579d0>|0.0001|accuracy|50|32|0.8735632183908046|0.8735632183908046|668.2369265556335
<keras.optimizer_v2.adam.Adam object at 0x7f126b37a4d0>|0.001|accuracy|100|64|0.8735632183908046|0.8734126984126984|1264.748387336731
<keras.optimizer_v2.adam.Adam object at 0x7f13d7476a90>|0.001|accuracy|50|32|0.8735632183908046|0.8729589804858622|668.5211706161499
<keras.optimizer_v2.adam.Adam object at 0x7f13dac14e50>|0.001|accuracy|50|16|0.8620689655172413|0.8619047619047618|694.335845708847
